번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
3741,인천광역시 미추홀구청,인천광역시 미추홀구주승로96번길22,인천광역시 미추홀구주안7동1287-7,생활방범,1,200,,30,2016-06,032-880-8743,37.4437,126.681,2024-08-01
3742,인천광역시 미추홀구청,인천광역시 미추홀구주승로96번길22,인천광역시 미추홀구주안7동1287-7,생활방범,1,200,,30,2016-06,032-880-8743,37.4437,126.681,2024-08-01
3743,인천광역시 미추홀구청,인천광역시 미추홀구미추홀대로587번길13-23,인천광역시 미추홀구주안7동1460-5,생활방범,1,200,,30,2016-06,032-880-8743,37.4492,126.679,2024-08-01
3744,인천광역시 미추홀구청,인천광역시 미추홀구인주대로354번길28,인천광역시 미추홀구주안7동1429-18,생활방범,1,200,,30,2016-06,032-880-8743,37.4501,126.676,2024-08-01
3745,인천광역시 미추홀구청,인천광역시 미추홀구인주대로354번길28,인천광역시 미추홀구주안7동1429-18,생활방범,1,200,,30,2016-06,032-880-8743,37.4501,126.676,2024-08-01
3746,인천광역시 미추홀구청,,인천광역시 미추홀구주안7동 1263-3,재난재해,1,200,,30,2018-01,032-880-8743,37.448,126.68,2024-08-01
3747,인천광역시 미추홀구청,,인천광역시 미추홀구주안7동 1263-3,재난재해,1,200,,30,2018-01,032-880-8743,37.448,126.68,2024-08-01
3748,인천광역시 미추홀구청,,인천광역시 미추홀구주안7동 1263-3,재난재해,1,200,,30,2018-01,032-880-8743,37.448,126.68,2024-08-01
3749,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 49-26,인천광역시 미추홀구주안7동 1335-92,생활방범,1,200,,30,2019-09,032-880-8743,37.4462,126.676,2024-08-01
3750,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 49-26,인천광역시 미추홀구주안7동 1335-92,생활방범,1,200,,30,2022-04,032-880-8743,37.4462,126.676,2024-08-01
3751,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 49-26,인천광역시 미추홀구주안7동 1335-92,생활방범,1,200,,30,2022-04,032-880-8743,37.4462,126.676,2024-08-01
3752,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 5-60,인천광역시 미추홀구주안7동 844-32,생활방범,1,200,,30,2019-09,032-880-8743,37.448,126.676,2024-08-01
3753,인천광역시 미추홀구청,인천광역시 미추홀구한나루로490번길 15,인천광역시 미추홀구주안3동 804-29,생활방범,1,200,,30,2018-06,032-880-8743,37.4506,126.669,2024-08-01
3754,인천광역시 미추홀구청,인천광역시 미추홀구한나루로490번길 15,인천광역시 미추홀구주안3동 804-29,생활방범,1,200,,30,2019-12,032-880-8743,37.4506,126.669,2024-08-01
3755,인천광역시 미추홀구청,인천광역시 미추홀구한나루로490번길 15,인천광역시 미추홀구주안3동 804-29,생활방범,1,200,,30,2019-12,032-880-8743,37.4506,126.669,2024-08-01
3756,인천광역시 미추홀구청,인천광역시 미추홀구한나루로490번길 25-43,인천광역시 미추홀구주안3동 759-28,생활방범,1,200,,30,2014-11,032-880-8743,37.4513,126.67,2024-08-01
3757,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 24,인천광역시 미추홀구주안3동 856-22,생활방범,1,200,,30,2014-11,032-880-8743,37.4474,126.675,2024-08-01
3758,인천광역시 미추홀구청,인천광역시 미추홀구인하로195번길 23-7,인천광역시 미추홀구주안3동 753-2,생활방범,1,200,,30,2014-11,032-880-8743,37.45,126.67,2024-08-01
3759,인천광역시 미추홀구청,인천광역시 미추홀구신기길58번길 50,인천광역시 미추홀구주안3동 858-19,생활방범,1,200,,30,2014-11,032-880-8743,37.4456,126.674,2024-08-01
3760,인천광역시 미추홀구청,인천광역시 미추홀구한나루로 478번길 9-27,인천광역시 미추홀구주안3동 810-25,생활방범,1,200,,30,2016-01,032-880-8743,37.4503,126.669,2024-08-01
3761,인천광역시 미추홀구청,인천광역시 미추홀구미추홀대로587번길 106-25,인천광역시 미추홀구주안3동1421-67,생활방범,1,200,,30,2018-09,032-880-8743,37.4507,126.674,2024-08-01
3762,인천광역시 미추홀구청,인천광역시 미추홀구미추홀대로575번길 106-29,인천광역시 미추홀구주안3동 1420-18,생활방범,1,200,,30,2014-11,032-880-8743,37.4495,126.674,2024-08-01
3763,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 44-7,인천광역시 미추홀구주안3동856-76,생활방범,1,200,,30,2015-11,032-880-8743,37.4464,126.675,2024-08-01
3764,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 26-18,인천광역시 미추홀구주안3동 849-134,생활방범,1,200,,30,2022-01,032-880-8743,37.4472,126.674,2024-08-01
3765,인천광역시 미추홀구청,인천광역시 미추홀구인하로236번길 26-18,인천광역시 미추홀구주안3동 849-134,생활방범,1,200,,30,2022-01,032-880-8743,37.4472,126.674,2024-08-01
3766,인천광역시 미추홀구청,인천광역시 미추홀구미추홀대로575번길 96,인천광역시 미추홀구주안3동 1420-36,생활방범,1,200,,30,2018-09,032-880-8743,37.449,126.675,2024-08-01
3767,인천광역시 미추홀구청,인천광역시 미추홀구한나루로478번길 64,인천광역시 미추홀구주안3동 735-2,생활방범,1,200,,30,2015-11,032-880-8743,37.4493,126.671,2024-08-01
3768,인천광역시 미추홀구청,인천광역시 미추홀구한나루로478번길 64,인천광역시 미추홀구주안3동 735-2,생활방범,1,200,,30,2015-11,032-880-8743,37.4493,126.671,2024-08-01
3769,인천광역시 미추홀구청,인천광역시 미추홀구한나루로490번길 5,인천광역시 미추홀구주안3동 801-23,생활방범,1,200,,30,2016-06,032-880-8743,37.4506,126.668,2024-08-01
3770,인천광역시 미추홀구청,인천광역시 미추홀구수봉북로 40,인천광역시 미추홀구도화1동 산50-1,생활방범,1,200,,30,2024-06,032-880-8743,37.4619,126.665,2024-08-01
3771,인천광역시 미추홀구청,인천광역시 미추홀구석정로49번길 30,인천광역시 미추홀구숭의1.3동 424-42,생활방범,1,200,,30,2016-09,032-880-8743,37.4649,126.643,2024-08-01
3772,인천광역시 미추홀구청,인천광역시 미추홀구새천년로5번길 61,인천광역시 미추홀구숭의1.3동 109-484,생활방범,1,200,,30,2016-09,032-880-8743,37.4683,126.645,2024-08-01
3773,인천광역시 미추홀구청,인천광역시 미추홀구석정로 122,인천광역시 미추홀구숭의1.3동 83-10,생활방범,1,200,,30,2016-12,032-880-8743,37.4686,126.649,2024-08-01
3774,인천광역시 미추홀구청,인천광역시 미추홀구석정로 122,인천광역시 미추홀구숭의1.3동 83-10,생활방범,1,200,,30,2016-12,032-880-8743,37.4686,126.649,2024-08-01
3775,인천광역시 미추홀구청,인천광역시 미추홀구석정로102번길 11,인천광역시 미추홀구숭의1.3동 84-8,생활방범,1,200,,30,2016-12,032-880-8743,37.4677,126.648,2024-08-01
3776,인천광역시 미추홀구청,인천광역시 미추홀구석정로 92번길 113-1,인천광역시 미추홀구숭의1.3동 90-43,생활방범,1,200,,30,2017-08,032-880-8743,37.467,126.653,2024-08-01
3777,인천광역시 미추홀구청,인천광역시 미추홀구한나루로463번길 117,인천광역시 미추홀구용현1.4동 83-12,생활방범,1,200,,30,2016-09,032-880-8743,37.4494,126.662,2024-08-01
3778,인천광역시 미추홀구청,인천광역시 미추홀구경인남길102번길 54,인천광역시 미추홀구용현1.4동 95-31,어린이보호,1,200,,30,2016-09,032-880-8743,37.452,126.661,2024-08-01
3779,인천광역시 미추홀구청,인천광역시 미추홀구경인남길102번길 135,인천광역시 미추홀구용현1.4동 14,생활방범,1,200,,30,2016-01,032-880-8743,37.4507,126.666,2024-08-01
3780,인천광역시 미추홀구청,인천광역시 미추홀구경인남길102번길 135,인천광역시 미추홀구용현1.4동 14,생활방범,1,200,,30,2016-01,032-880-8743,37.4507,126.666,2024-08-01
3781,인천광역시 미추홀구청,,인천광역시 미추홀구용현1.4동 146-298,생활방범,1,200,,30,2016-01,032-880-8743,37.4583,126.659,2024-08-01
3782,인천광역시 미추홀구청,,인천광역시 미추홀구용현1.4동 61-93,생활방범,1,200,,30,2016-01,032-880-8743,37.4578,126.661,2024-08-01
3783,인천광역시 미추홀구청,,인천광역시 미추홀구용현1.4동 61-93,생활방범,1,200,,30,2016-01,032-880-8743,37.4578,126.661,2024-08-01
3784,인천광역시 미추홀구청,,인천광역시 미추홀구용현1.4동 55-183,생활방범,1,200,,30,2016-01,032-880-8743,37.458,126.662,2024-08-01
3785,인천광역시 미추홀구청,,인천광역시 미추홀구용현1.4동 55-183,생활방범,1,200,,30,2016-01,032-880-8743,37.458,126.662,2024-08-01
3786,인천광역시 미추홀구청,인천광역시 미추홀구인주대로171번길 25,인천광역시 미추홀구용현1.4동 146-77,생활방범,1,200,,30,2017-09,032-880-8743,37.4566,126.658,2024-08-01
3787,인천광역시 미추홀구청,인천광역시 미추홀구경인북길321,인천광역시 미추홀구용현1.4동 114-42,생활방범,1,200,,30,2017-09,032-880-8743,37.4559,126.666,2024-08-01
3788,인천광역시 미추홀구청,인천광역시 미추홀구인하로 51,인천광역시 미추홀구용현1.4동199-5,생활방범,1,200,,30,2017-09,032-880-8743,37.4521,126.655,2024-08-01
3789,인천광역시 미추홀구청,인천광역시 미추홀구경인북길 303번길 14,인천광역시 미추홀구용현1.4동 114-25,생활방범,1,200,,30,2017-12,032-880-8743,37.4561,126.665,2024-08-01
3790,인천광역시 미추홀구청,인천광역시 미추홀구인하로 77번길 49 일대,인천광역시 미추홀구용현1.4동 169-11,생활방범,1,200,,30,2017-12,032-880-8743,37.4534,126.658,2024-08-01
3791,인천광역시 미추홀구청,인천광역시 미추홀구수봉남로6번길 63,인천광역시 미추홀구용현1.4동 126-14,생활방범,1,200,,30,2018-06,032-880-8743,37.4556,126.66,2024-08-01
3792,인천광역시 미추홀구청,인천광역시 미추홀구수봉남로6번길 63,인천광역시 미추홀구용현1.4동 126-14,생활방범,1,200,,30,2018-06,032-880-8743,37.4556,126.66,2024-08-01
3793,인천광역시 미추홀구청,인천광역시 미추홀구수봉남로6번길 63,인천광역시 미추홀구용현1.4동 126-14,생활방범,1,200,,30,2019-12,032-880-8743,37.4556,126.66,2024-08-01
3794,인천광역시 미추홀구청,인천광역시 미추홀구수봉남로6번길 63,인천광역시 미추홀구용현1.4동 126-14,생활방범,1,200,,30,2019-12,032-880-8743,37.4556,126.66,2024-08-01
3795,인천광역시 미추홀구청,인천광역시 미추홀구인주대로211번길 39-17,인천광역시 미추홀구용현1.4동 55-296,생활방범,1,200,,30,2018-06,032-880-8743,37.4567,126.662,2024-08-01
3796,인천광역시 미추홀구청,인천광역시 미추홀구인주대로211번길 39-17,인천광역시 미추홀구용현1.4동 55-296,생활방범,1,200,,30,2018-06,032-880-8743,37.4567,126.662,2024-08-01
3797,인천광역시 미추홀구청,인천광역시 미추홀구인주대로211번길 39-17,인천광역시 미추홀구용현1.4동 55-296,생활방범,1,200,,30,2019-12,032-880-8743,37.4567,126.662,2024-08-01
3798,인천광역시 미추홀구청,인천광역시 미추홀구인주대로211번길 39-17,인천광역시 미추홀구용현1.4동 55-296,생활방범,1,200,,30,2019-12,032-880-8743,37.4567,126.662,2024-08-01
3799,인천광역시 미추홀구청,인천광역시 미추홀구인하로47번길 65,인천광역시 미추홀구용현1.4동 169-1,생활방범,1,200,,30,2014-11,032-880-8743,37.4532,126.658,2024-08-01
3800,인천광역시 미추홀구청,인천광역시 미추홀구경인남길30번길 25-6,인천광역시 미추홀구용현1.4동 197-16,생활방범,1,200,,30,2014-11,032-880-8743,37.4523,126.656,2024-08-01
3801,인천광역시 미추홀구청,인천광역시 미추홀구경인남길30번길 25-13,인천광역시 미추홀구용현1.4동 197-13,생활방범,1,200,,30,2014-11,032-880-8743,37.4524,126.656,2024-08-01
3802,인천광역시 미추홀구청,인천광역시 미추홀구경인남길30번길 61-16,인천광역시 미추홀구용현1.4동 182-15,생활방범,1,200,,30,2014-11,032-880-8743,37.4519,126.658,2024-08-01
3803,인천광역시 미추홀구청,인천광역시 미추홀구경인남길30번길 90-2,인천광역시 미추홀구용현1.4동 187-6,생활방범,1,200,,30,2014-11,032-880-8743,37.4511,126.66,2024-08-01
3804,인천광역시 미추홀구청,인천광역시 미추홀구인주대로224번길 27,인천광역시 미추홀구용현1.4동 98-53,생활방범,1,200,,30,2014-11,032-880-8743,37.4528,126.662,2024-08-01
3805,인천광역시 미추홀구청,인천광역시 미추홀구경인남길102번길 75,인천광역시 미추홀구용현1.4동 96-1,생활방범,1,200,,30,2018-09,032-880-8743,37.4516,126.663,2024-08-01
3806,인천광역시 미추홀구청,"인천광역시 미추홀구석정로92번길 173(제물포 뒷역), 도화지구대 뒤(경인선 철로 옆)","인천광역시 미추홀구도화2,3동 80-161",생활방범,1,500,,30,2023-04,032-880-8743,37.467,126.656,2024-08-01
3807,인천광역시 미추홀구청,인천광역시 미추홀구석정로333번길 21 ㈜청수유통 앞,"인천광역시 미추홀구도화2,3동 120-16",생활방범,1,200,,30,2015-11,032-880-8743,37.4689,126.673,2024-08-01
3808,인천광역시 미추홀구청,인천광역시 미추홀구석정로333번길 21 ㈜청수유통 앞,"인천광역시 미추홀구도화2,3동 120-16",생활방범,1,200,,30,2015-11,032-880-8743,37.4689,126.673,2024-08-01
3809,인천광역시 미추홀구청,인천광역시 미추홀구석정로324번길 31-9,"인천광역시 미추홀구도화2,3동 128-21",생활방범,1,200,,30,2015-11,032-880-8743,37.4664,126.672,2024-08-01
3810,인천광역시 미추홀구청,인천광역시 미추홀구석정로314번길 8,"인천광역시 미추홀구도화2,3동 136-8",생활방범,1,200,,30,2015-11,032-880-8743,37.4675,126.671,2024-08-01
3811,인천광역시 미추홀구청,인천광역시 미추홀구석정로314번길 8,"인천광역시 미추홀구도화2,3동 136-8",생활방범,1,200,,30,2015-11,032-880-8743,37.4675,126.671,2024-08-01
3812,인천광역시 미추홀구청,인천광역시 미추홀구염전로144번안길 39,"인천광역시 미추홀구도화2,3동 870-1",생활방범,1,200,,30,2018-09,032-880-8743,37.4775,126.658,2024-08-01
3813,인천광역시 미추홀구청,인천광역시 미추홀구  석정로282번길 5,인천광역시 미추홀구도화2.3동 221-2,생활방범,1,200,,30,2018-09,032-880-8743,37.4677,126.667,2024-08-01
3814,인천광역시 미추홀구청,인천광역시 미추홀구연송로27,인천광역시 미추홀구도화2.3동 947-3,생활방범,1,200,,30,2022-01,032-880-8743,37.4785,126.655,2024-08-01
3815,인천광역시 미추홀구청,인천광역시 미추홀구연송로27,인천광역시 미추홀구도화2.3동 947-3,생활방범,1,200,,30,2022-01,032-880-8743,37.4785,126.655,2024-08-01
3816,인천광역시 미추홀구청,인천광역시 미추홀구연송로27,인천광역시 미추홀구도화2.3동 947-3,생활방범,1,200,,30,2022-01,032-880-8743,37.4785,126.655,2024-08-01
3817,인천광역시 미추홀구청,인천광역시 미추홀구연송로86번길 45-4,인천광역시 미추홀구도화2.3동 14-47,생활방범,1,200,,30,2016-06,032-880-8743,37.4769,126.656,2024-08-01
3818,인천광역시 미추홀구청,인천광역시 미추홀구연송로 56 일원,인천광역시 미추홀구도화2.3동 16-17,생활방범,1,200,,30,2016-06,032-880-8743,37.4776,126.657,2024-08-01
3819,인천광역시 미추홀구청,인천광역시 미추홀구연송로96번길 65-22,인천광역시 미추홀구도화2.3동 24-77,생활방범,1,200,,30,2018-09,032-880-8743,37.4777,126.655,2024-08-01
3820,인천광역시 미추홀구청,인천광역시 미추홀구독배로446번길 41,인천광역시 미추홀구숭의2동 209-60,생활방범,1,200,,30,2016-11,032-880-8743,37.46,126.651,2024-08-01
3821,인천광역시 미추홀구청,인천광역시 미추홀구독배로446번길 41,인천광역시 미추홀구숭의2동 209-60,생활방범,1,200,,30,2016-11,032-880-8743,37.46,126.651,2024-08-01
3822,인천광역시 미추홀구청,인천광역시 미추홀구미추로20번길 1,인천광역시 미추홀구숭의2동 190-40,생활방범,1,200,,30,2023-01,032-880-8743,37.4621,126.648,2024-08-01
3823,인천광역시 미추홀구청,인천광역시 미추홀구미추로20번길 1,인천광역시 미추홀구숭의2동 190-40,생활방범,1,500,,30,2023-01,032-880-8743,37.4621,126.648,2024-08-01
3824,인천광역시 미추홀구청,인천광역시 미추홀구장천로58번길 3-26,인천광역시 미추홀구숭의2동 208-3,생활방범,1,200,,30,2022-04,032-880-8743,37.4609,126.652,2024-08-01
3825,인천광역시 미추홀구청,인천광역시 미추홀구장천로58번길 3-26,인천광역시 미추홀구숭의2동 208-3,생활방범,1,200,,30,2022-04,032-880-8743,37.4609,126.652,2024-08-01
3826,인천광역시 미추홀구청,인천광역시 미추홀구독배로434번길 54,인천광역시 미추홀구숭의2동 285-80,생활방범,1,200,,30,2016-11,032-880-8743,37.4599,126.652,2024-08-01
3827,인천광역시 미추홀구청,인천광역시 미추홀구미추로27번길 19,인천광역시 미추홀구숭의2동 168-7,생활방범,1,200,,30,2018-09,032-880-8743,37.4622,126.647,2024-08-01
3828,인천광역시 미추홀구청,인천광역시 미추홀구독배로436번길 37,인천광역시 미추홀구숭의2동 209-43,생활방범,1,200,,30,2016-11,032-880-8743,37.4596,126.651,2024-08-01
3829,인천광역시 미추홀구청,인천광역시 미추홀구경인로34번길 33-16,인천광역시 미추홀구숭의2동 184-38,생활방범,1,200,,30,2016-11,032-880-8743,37.4626,126.649,2024-08-01
3830,인천광역시 미추홀구청,인천광역시 미추홀구장천로48번길 10,인천광역시 미추홀구숭의2동 281-7,생활방범,1,200,,30,2016-11,032-880-8743,37.4601,126.651,2024-08-01
3831,인천광역시 미추홀구청,인천광역시 미추홀구독정이로45번길 21,인천광역시 미추홀구숭의2동 289-21,생활방범,1,200,,30,2016-11,032-880-8743,37.4596,126.653,2024-08-01
3832,인천광역시 미추홀구청,인천광역시 미추홀구장천로19번길 4,인천광역시 미추홀구숭의2동 302-54,생활방범,1,200,,30,2016-11,032-880-8743,37.4595,126.647,2024-08-01
3833,인천광역시 미추홀구청,인천광역시 미추홀구용삼길 49번길 14,인천광역시 미추홀구숭의2동 290-38,생활방범,1,200,,30,2016-11,032-880-8743,37.4586,126.652,2024-08-01
3834,인천광역시 미추홀구청,인천광역시 미추홀구경인로42번길 62-20,인천광역시 미추홀구숭의2동 185-36,생활방범,1,200,,30,2019-09,032-880-8743,37.4615,126.649,2024-08-01
3835,인천광역시 미추홀구청,인천광역시 미추홀구경인로42번길 62-20,인천광역시 미추홀구숭의2동 185-36,생활방범,1,200,,30,2022-01,032-880-8743,37.4615,126.649,2024-08-01
3836,인천광역시 미추홀구청,인천광역시 미추홀구장천로14번길 30,인천광역시 미추홀구숭의2동 295-16,생활방범,1,200,,30,2019-09,032-880-8743,37.4586,126.648,2024-08-01
3837,인천광역시 미추홀구청,인천광역시 미추홀구경인로52번길 13-10,인천광역시 미추홀구숭의2동 176-73,생활방범,1,500,,30,2023-01,032-880-8743,37.464,126.65,2024-08-01
3838,인천광역시 미추홀구청,인천광역시 미추홀구경인로52번길 13-10,인천광역시 미추홀구숭의2동 176-73,생활방범,1,500,,30,2023-01,032-880-8743,37.464,126.65,2024-08-01
3839,인천광역시 미추홀구청,인천광역시 미추홀구독정이로45번길 43,인천광역시 미추홀구숭의2동 289-120,생활방범,1,200,,30,2019-12,032-880-8743,37.4587,126.653,2024-08-01
3840,인천광역시 미추홀구청,인천광역시 미추홀구승학길26번길 39,인천광역시 미추홀구문학동 333-11,생활방범,1,500,,30,2024-04,032-880-8743,37.4404,126.682,2024-08-01
3841,인천광역시 미추홀구청,인천광역시 미추홀구미추홀대로 486-18,인천광역시 미추홀구문학동 332-17,생활방범,1,200,,30,2018-09,032-880-8743,37.4406,126.679,2024-08-01
3842,인천광역시 미추홀구청,인천광역시 미추홀구미추홀대로 486-18,인천광역시 미추홀구문학동 332-17,생활방범,1,200,,30,2022-04,032-880-8743,37.4406,126.679,2024-08-01
3843,인천광역시 미추홀구청,인천광역시 미추홀구미추홀대로 486-18,인천광역시 미추홀구문학동 332-17,생활방범,1,200,,30,2022-04,032-880-8743,37.4406,126.679,2024-08-01
3844,인천광역시 미추홀구청,인천광역시 미추홀구미추홀로 486번길 52,인천광역시 미추홀구문학동 332-5,생활방범,1,200,,30,2016-11,032-880-8743,37.4414,126.68,2024-08-01
3845,인천광역시 미추홀구청,인천광역시 미추홀구미추홀로 486번길 52,인천광역시 미추홀구문학동 332-5,생활방범,1,200,,30,2016-11,032-880-8743,37.4414,126.68,2024-08-01
3846,인천광역시 미추홀구청,인천광역시 미추홀구매소홀로592번길 9,인천광역시 미추홀구문학동 382-2,생활방범,1,200,,30,2018-09,032-880-8743,37.4378,126.688,2024-08-01
3847,인천광역시 미추홀구청,인천광역시 미추홀구문학길 42,인천광역시 미추홀구문학동 138-8,생활방범,1,200,,30,2016-11,032-880-8743,37.4366,126.681,2024-08-01
3848,인천광역시 미추홀구청,인천광역시 미추홀구문학길125번길 11,인천광역시 미추홀구문학동 396-24,생활방범,1,200,,30,2018-09,032-880-8743,37.4353,126.685,2024-08-01
3849,인천광역시 미추홀구청,인천광역시 미추홀구소성로318번길 30,인천광역시 미추홀구문학동 371-11,생활방범,1,200,,30,2016-01,032-880-8743,37.4363,126.683,2024-08-01
3850,인천광역시 미추홀구청,,인천광역시 미추홀구문학동 220-13,재난재해,1,200,,30,2018-01,032-880-8743,37.4397,126.687,2024-08-01
3851,인천광역시 미추홀구청,인천광역시 미추홀구매소홀로 589,인천광역시 미추홀구문학동 349-2,시설물관리,1,200,,30,2018-11,032-880-8743,37.4394,126.688,2024-08-01
3852,인천광역시 미추홀구청,인천광역시 미추홀구매소홀로 589,인천광역시 미추홀구문학동 349-2,시설물관리,1,200,,30,2018-11,032-880-8743,37.4394,126.687,2024-08-01
3853,인천광역시 미추홀구청,인천광역시 미추홀구매소홀로 589,인천광역시 미추홀구문학동 349-2,시설물관리,1,200,,30,2018-11,032-880-8743,37.4394,126.688,2024-08-01
3854,인천광역시 미추홀구청,인천광역시 미추홀구매소홀로 589,인천광역시 미추홀구문학동 349-2,시설물관리,1,200,,30,2018-11,032-880-8743,37.4393,126.688,2024-08-01
3855,인천광역시 미추홀구청,인천광역시 미추홀구매소홀로 589,인천광역시 미추홀구문학동 349-2,시설물관리,1,200,,30,2018-11,032-880-8743,37.4393,126.688,2024-08-01
3856,인천광역시 미추홀구청,인천광역시 미추홀구문학길 136,인천광역시 미추홀구문학동 400-1,생활방범,1,200,,30,2013-12,032-880-8743,37.4347,126.685,2024-08-01
3857,인천광역시 미추홀구청,인천광역시 미추홀구문학길109번길 24-18,인천광역시 미추홀구문학동 396-19,생활방범,1,200,,30,2013-12,032-880-8743,37.4359,126.685,2024-08-01
3858,인천광역시 미추홀구청,인천광역시 미추홀구소성로294번길 3-26,인천광역시 미추홀구문학동 362-1,생활방범,1,200,,30,2019-09,032-880-8743,37.4375,126.681,2024-08-01
3859,인천광역시 미추홀구청,인천광역시 미추홀구매소홀로546번길 8,인천광역시 미추홀구문학동 366-8,생활방범,1,200,,30,2019-09,032-880-8743,37.4381,126.683,2024-08-01
3860,인천광역시 미추홀구청,인천광역시 미추홀구소성로 373,인천광역시 미추홀구문학동 387-8,생활방범,1,200,,30,2019-09,032-880-8743,37.4377,126.69,2024-08-01
3861,인천광역시 미추홀구청,인천광역시 미추홀구소성로332번길 31,인천광역시 미추홀구문학동 397-25,생활방범,1,200,,30,2019-09,032-880-8743,37.4362,126.684,2024-08-01
3862,인천광역시 미추홀구청,인천광역시 미추홀구소성로332번길 39,인천광역시 미추홀구문학동 397-10,생활방범,1,200,,30,2019-01,032-880-8743,37.4357,126.684,2024-08-01
3863,인천광역시 미추홀구청,인천광역시 미추홀구소성로282번길 59,인천광역시 미추홀구문학동164-5,생활방범,1,200,,30,2020-06,032-880-8743,37.4352,126.678,2024-08-01
3864,인천광역시 미추홀구청,인천광역시 미추홀구소성로282번길 59,인천광역시 미추홀구문학동164-5,생활방범,1,200,,30,2020-06,032-880-8743,37.4352,126.678,2024-08-01
3865,인천광역시 미추홀구청,인천광역시 미추홀구주염로 29,인천광역시 미추홀구주안5동 16-141,어린이보호,1,200,,30,2020-11,032-880-8743,37.4684,126.682,2024-08-01
3866,인천광역시 미추홀구청,인천광역시 미추홀구주염로 29,인천광역시 미추홀구주안5동 16-141,어린이보호,1,200,,30,2020-11,032-880-8743,37.4684,126.682,2024-08-01
3867,인천광역시 미추홀구청,인천광역시 미추홀구석정로375번길 17,인천광역시 미추홀구주안5동 13-39,어린이보호,1,200,,30,2019-12,032-880-8743,37.4681,126.678,2024-08-01
3868,인천광역시 미추홀구청,인천광역시 미추홀구석정로375번길 17,인천광역시 미추홀구주안5동 13-39,어린이보호,1,200,,30,2019-12,032-880-8743,37.4681,126.678,2024-08-01
3869,인천광역시 미추홀구청,인천광역시 미추홀구석정로375번길 23,인천광역시 미추홀구주안5동 13-38,어린이보호,1,200,,30,2018-12,032-880-8743,37.4684,126.678,2024-08-01
3870,인천광역시 미추홀구청,인천광역시 미추홀구길파로27번길 8,인천광역시 미추홀구주안5동 8-73,어린이보호,1,200,,30,2018-12,032-880-8743,37.4683,126.679,2024-08-01
3871,인천광역시 미추홀구청,인천광역시 미추홀구석정로433번길 43-18,인천광역시 미추홀구주안5동 18-65,생활방범,1,200,,30,2019-12,032-880-8743,37.4686,126.685,2024-08-01
3872,인천광역시 미추홀구청,인천광역시 미추홀구석정로433번길 43-18,인천광역시 미추홀구주안5동 18-65,생활방범,1,200,,30,2019-12,032-880-8743,37.4686,126.685,2024-08-01
3873,인천광역시 미추홀구청,인천광역시 미추홀구염창로 19,인천광역시 미추홀구주안5동 26-53,생활방범,1,200,,30,2020-11,032-880-8743,37.4661,126.677,2024-08-01
3874,인천광역시 미추홀구청,인천광역시 미추홀구염창로 88-44,인천광역시 미추홀구주안5동 31-6,생활방범,1,200,,30,2019-12,032-880-8743,37.465,126.683,2024-08-01
3875,인천광역시 미추홀구청,인천광역시 미추홀구인주대로320번길 28,인천광역시 미추홀구주안3동 726-17,생활방범,1,200,,30,2016-06,032-880-8743,37.4506,126.672,2024-08-01
3876,인천광역시 미추홀구청,인천광역시 미추홀구한나루로478번길 55-35,인천광역시 미추홀구주안3동 730-4,생활방범,1,200,,30,2018-12,032-880-8743,37.4499,126.671,2024-08-01
3877,인천광역시 미추홀구청,인천광역시 미추홀구신기길16번길 53,인천광역시 미추홀구주안3동 849-118,생활방범,1,200,,30,2016-06,032-880-8743,37.4475,126.674,2024-08-01
3878,인천광역시 미추홀구청,인천광역시 미추홀구신기길16번길 53,인천광역시 미추홀구주안3동 849-118,생활방범,1,200,,30,2016-06,032-880-8743,37.4475,126.674,2024-08-01
3879,인천광역시 미추홀구청,인천광역시 미추홀구인하로195번길 17,인천광역시 미추홀구주안3동 752-1,생활방범,1,200,,30,2018-09,032-880-8743,37.4496,126.67,2024-08-01
3880,인천광역시 미추홀구청,인천광역시 미추홀구인하로195번길 23-24,인천광역시 미추홀구주안3동 755-1,생활방범,1,200,,30,2018-09,032-880-8743,37.45,126.67,2024-08-01
3881,인천광역시 미추홀구청,인천광역시 미추홀구한나루로490번길 25,인천광역시 미추홀구주안3동 759-23,생활방범,1,200,,30,2018-09,032-880-8743,37.4506,126.669,2024-08-01
3882,인천광역시 미추홀구청,인천광역시 미추홀구인주대로306번길 21,인천광역시 미추홀구주안3동 725-22,생활방범,1,200,,30,2019-09,032-880-8743,37.451,126.671,2024-08-01
3883,인천광역시 미추홀구청,인천광역시 미추홀구인하로 230-21,인천광역시 미추홀구주안3동 848-26,생활방범,1,200,,30,2019-09,032-880-8743,37.448,126.674,2024-08-01
